Name,Breed,DOB,Sex,Neuter,CKD?,Cause CKD,Age at diagnosis CKD,Other reason for mesure,Hypertension,Concurrent conditions,Outcome,Last follow-up,followup_time,Date of death,Survival,Date 1,Weight 1,UPCR1,Crea BQ1,Crea HCV1,Urea1,K1,Phos1,TP1,Alb 1,Biochem1,PCV1,CBC1,BP1,USG1,UA1,Clinical signs1,Duration of clinical signs,Diagnostic work-up1,Urine culture1,Ttmt 1,Date 2,Weight 2,UPCR2,Crea BQ2,Crea HCV2,Urea2,K2,Phos2,TP2,Alb 2,Biochem2,PCV2,CBC2,BP2,USG2,UA2,Clinical signs2,Ttmt 2,Date 3,Weight 3,UPCR3,Crea BQ3,Crea HCV3,Urea3,K3,Phos3,TP3,Alb 3,Biochem3,PCV2,CBC2,BP3,USG3,UA3,Clinical signs3,Ttmt3,Other controls
6339- SAYA,DSH,5/15/08,F,Y,N,,1,,NO  150 mmHg,FIV,"No improvement, likely euthanasia",,3,3/9/09,12,2/25/09,2.2,0.3,5,,75,3.2,5.1,9.5,3.2,GPT 14,25,OK,160,"1,033","PH6, BIL +",weight loss,,"irregular kidney, loss of cortical definition",,"Diet, Benacepril",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245- POMPOM,DSH,10/15/99,M,Y,Y,,10,,Y 180 mmHg,gingivitis/periodontitis,Alive,8/28/14,,,1590,3/31/09,5.8,0.014,2.6,,28,5.2,6.3,9,3.3,"ALT 41, FA 35,GLUC 96",47.1,OK,140,1035,OK,NONE,,No renal changes,negative,Diet,9/10/10,5.1,0.03,2.4,,25,4.8,6.1,8,3.7,"GLUC 106,ALT 17, FA 58",45,OK,220,1032,0K,NONE,"Diet, amlodipine",6/28/14,4.8,0.08,3.5,,32,3.5,8.2,7.2,2.9,"GLUC 87,ALT 49,FA 47",37,"EOS 0,92",165,1029,,,"Diet, amlodidine, felimazole","T4: 0,8"
5468- ISIS,Siamese,3/27/97,F,Y,Y,,12,,NO  135 mmHg,,"No improvement, likely euthanasia",,1035,3/21/12,,5/11/09,4.1,0.03,3,,26,4.7,4.8,7.8,3.2,"GLUC 86, FA 56,",37.7,OK,130,1030,ok,NONE,," irregular kidney, loss of cortical definition",negative,"Diet, Benacepril",6/19/10,3.4,0.02,3.2,,35,4.2,5.8,7.6,3.3,"GLUC 110, ALT 68,FA 56",39.4,OK,175,1025,OK,"vomit, gingivitis","Diet, famotidine,benaceprilo",2/6/12,3.4,0.04,3.8,,41,3.2,9.1,6.2,2.2,"GLUC 107,ALT 40,FA 48",17,"HB 7, RBC 3,47, WBC 16280, N 13160",,1015,,"anorexia, chronic vomiting,weight loss, ","diet, benaceprolo, marbofloxacino,famotidina, omeprazol",
2226-RUFI,DSH,8/5/95,F,Y,Y,,13,,NO  ,bonquitis crónica,Dead,7/22/09,240,8/5/09,,11/25/08,2.95,0.04,12.9,,111,,10.8,8.4,3.6,,23.2,,220,"1,015",hematuria,"weight loss, ",unknown,"loss of cortical definition, pelvis dilatation",,Benacepril amlodipine,7/22/09,2.75,0.025,7.9,,97,,8.6,5.1,2.2,,20.7,ok,165,"1,022",ok,"hiporexia, wasting, 
vomits","benacepril, amlodipine",,,,,,,,,,,,,,,,,,,
4385-BLANQUITO,DSH,2/15/05,M,Y,Y,,5,,Y 170 mmHg,"hipertiroidismo, gingivitis/periodontitis",Alive and controlled,12/29/14,1828,,,1/30/10,6.6,0,1.9,,24,,,7.2,3.3,"GLU 134, FA 49, GPT 55",34.2,OK,120,"1,040",OK,NONE,,No renal changes,,Diet,6/12/13,6.9,,1.9,,18,,,7.8,3.5,"GLU 118,ALT 24, FA 70",41.1,OK,170,"1,035",OK,Vomits,Diet,12/29/14,6.6,0.017,1.8,,19,,,9,3.1,"GLUC 148, ALT51, FA 62",28.3,,,"1,048",,,"Diet, Ht control",
7565-LUZ,DSH,6/15/10,F,Y,N,,4,,,,Alive and controlled,1/9/15,61,,,12/5/14,4.2,,2.2,,27,,,8,3.7,"GLU 233, GPT 53, FA 48",37.4,OK,,,,Polydipsia,unknown,pelvis dilatation ,,,1/9/15,4.2,0.02,1.8,,20,,,8,3.2,"GLU 218, ALT 57, FA 60",39.8,OK,,"1,045",pH 9,NONE,Marbofloxacine,,,,,,,,,,,,,,,,,,,
5245-POMPOM,norwegian forest cat,10/15/99,M,Y,Y,,10,,Y 170 mmHg,hipertiroidismo ,Alive and controlled,8/26/14,2155,,,3/31/09,4.5,0.014,2.6,,37,4.6,5.5,7.5,3.2,,34,ok,140,"1,037",ok,"Weight loss, dehydration and poor coat",unknown,loss of cortical definition,,diet,2/11/09,4.3,0.03,2.4,,35,3.9,4.7,7.2,3.8,,32.5,OK,220,"1,032",,NONE,"Wet diet, amlodipine",9/10/10,4.2,0.03,2,,,,,7.2,3.3,,,,,"1,032",,,"Wet diet, amlodipine","13/04/13 T4 4,95yg/dl// UPC 0,0124// PA168// tmt:Wet diet, amlodipine+metimazole
28/06/14 T4 0,80yg/dl// UPC 0,08// DU:1.029// Crea 3,5// PAS 165mmHg// tmt: Wet diet, amlodipine+metimazole"
5281-OLIVIA,DSH,5/18/00,F,Y,Y,,13,,NO ,Diabetes,Alive ,2/7/15,547,,,9/28/13,3.6,,2.2,,,,,,,,37,OK,125,,,"Polydipsia, polyuria",unknown,,,diet,3/10/14,3.2,,3.3,,47,,,6.8,3.2,"fructosamine: 681,2mmol/l",,,,"1,014",glucosuria,polyuria,"insuline, wet renal diet",2/7/15,4,0.017,3.3,,47,,, ,,,29.7,"WBC:3,89K/YL",,"1,017",,"heart murmur, ","Wet renal diet, famotidine, mirtazapine",
8733-PARDITA,Siamese,4/1/98,F,Y,N,,17,hyperthyroidism,Y 175 mmHg,hipertiroidismo,Alive and controlled,2/5/15,35,,,1/5/15,2.2,0.04,1.2,,62,,,7.2,3,"FA: 147, t4:7,7yg/dl",47.5,Neutrophilia,160,"1,033","bacteriuria, bilirrubinuria","weight loss, excitement, and poor coat",2 years," irregular kidney, loss of cortical definition",,,2/5/15,2.75,,1.2,,48,4.1,4,7.5,3,ALT: 137,34.7,OK,160,,,NONE,"metimazole, metilprednisolone, pradofloxacine",,,,,,,,,,,,,,,,,,,
8347-TILIN,DSH,5/20/05,F,Y,Y,,9,,NO,neoplasia intestinal ,Alive ,2/13/15,49,,,12/27/14,3.27,1.76,1.3,,17,,,9.8,3.9,"GLU: 177, ALT 47, FA:46",46.40%,OK,,"1,043",,weight loss,unknown,pelvis dilatation,negative," amlodipine,  benacepril
",1/30/15,3.47,2.08,,,,,,,,,,,,"1,035",ok,none,"marbofloxacine, metilprednisolone, clorambucil, amlodipine, subcutaneous hidratation, oral potasium, benacepril",2/13/15,3.43,1.28,1.2,,18,3.9,3.3,8.2,3.4,"GLUC 148, 
ALT>130, 
ALKP 33",42.50%,ok,,"1,043",,none,"marbofloxacine, metilprednisolone, 
clorambucil, amlodipine, 
subcutaneous hidratation, 
oral potasium, benacepril, buprex",
8368-PEGASO,DSH,5/21/05,M,Y,Y,,9,,Y 180 mmHg,"FIV, gingivitis/periodontitis",No improvement,2/3/15,60,,,12/10/14,6,0.028,4.1,,64,3.9,7.7,9.2,,,16.3,,,,,"dehydration, anorexia, vomits",1 day,,, diet,12/17/14,6,,4,,52,,,,3.1,,27.6,Leukopenia,,,,,"marbofloxacine, wet, renal diet",1/7/15,,0.051,3.5,,46,,,,3.3,"GLUC 114, 
ALT 65, FA 59",24%,"RBC 4,74m/yl
WBC 4,71k/yl, NEU:2,22k/yl",,,,,"Wet diet, marbofloxacine","03/02/2015: Crea 3,3, Phos 5,6, Hct 30,5%, WBC: 4,82yg/dl, TP: 9,4 tmt: famotidine, marbofloxacine, Renal diet"
3907-GRISSI,DSH,4/1/03,M,Y,Y,,9,,NO,"FIV, hipertiroidismo",Alive and controlled,10/18/14,780,,,9/29/12,5.2,0.014,2.4,,23,,,7.6,3.2,,42.2,Lymphopenia,,"1,035",leucosuria,none,,No renal changes,, diet,3/23/12,5.09,,1.6,,28,,,7.2,3.2,"T4: 4,22yg/dl",24.4,Leukopenia,,,,none,"wet diet, metimazole, feline interferón",7/23/14,5.2,,3.1,,,,,8,3.3,"T4 0,41yg/dl",36.6,"Leucopenia, lymphopenia",,,,,"Wet diet, metimazole, feline interferon","18/10/2014: BW:5,17// BP: 130// Crea 2,3// Hct: 35%// PT:8,4// T4:1,4// 
Tmt: wet diet, metimazole, feline interferon"
6568-TRICOL,DSH,6/1/09,M,N,N,,4 months,,NO,,Dead,9/18/09,,9/18/09,4,9/14/09,1.2,2.31,1.4,,53,,,8.2,2.4,,19,"Leucocitosis, 
neutrophilia",,"1,013",,"Polydipsia, polyuria, periuria",4 day,pelvis dilatation,,benacepril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8406-SMARTY,DSH,6/1/13,F,Y,N,,1,,NO,,Alive,3/21/14,,,,1/14/14,3.2,0.25,1.9,,,,,,,,,,,,,,,,,,2/14/14,,,1.6,,28,,,,,,,,,,,,,3/21/14,,"<0,4",,,,,,,,,,,,,,,,
8397-HEIDI,DSH,4/1/02,F,Y,N,,12,,NO,,Alive,4/11/16,,,,5/7/14,5,0.04,0,,,,,,,"T4:2,34",,,,,"DU: 1.025, pH6, Proteinuria, Bilirrubinuria",,,,,,11/014/16,3.6,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6981-BONITA,DSH,12/25/03,F,Y,N,,2,,NO,,Alive,6/15/18,,,,12/17/15,7.4,0.36,1.6,,29,,5.2,,3.3,Glu:535,,,,,,,,,,,4/25/14,8,0.36,2.1,,29,4.3,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
9125-JAS,DSH,1/15/01,M,Y,Y,,15,,NO,,Alive,1/5/16,,,,1/5/16,3.58,0.68,3.1,,70,,6.9,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7491-PAPAYA,DSH,9/15/07,F,N,Y,,9,,NO,,Alive,1/12/16,,,,1/12/16,4.18,0.02,2.6,,33,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864-ARUA,DSH,8/15/09,F,Y,Y,,7,,NO,,Alive,3/16/18,,,,1/29/16,4.23,0.16,1.8,,19,,3.8,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422-OFELIA,DSH,9/15/00,F,Y,Y,,16,,y 182 mmHg,,Alive,4/6/18,,,,2/9/16,3.6,0.06,3.4,,38,,4.9,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293-ZAR,Siamese,8/1/03,M,Y,Y,,13,,NO,,Alive,4/11/17,,,,4/11/17,3.7,0.11,4,,61,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9622-KOKOA,DSH,3/25/16,M,Y,N,,1,,NO,,Alive,4/15/17,,,,4/15/17,6.2,"<0,1",1.4,,19,,,7.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9173-CANELA,DSH,3/1/02,F,Y,N,,14,,NO,,Alive,4/28/17,,,,2/29/16,2.7,0.52,1.3,,20,,4,,2.7,,,,,,,,,,,,12/7/16,2.94,6.38,,,>130,,>16,9.6,0.5,"glob:6,6",,,,,,,,,,,,,,,,,,,,,,,,,,
8510-SETI,bosque siberia,4/15/12,M,y,N,,2,,NO,,Alive,10/13/16,,,,3/7/16,4.3,0.04,,,,,,,,,,,,,,,,,,,10/13/16,3.85,0.06,2.1,,28,,3.8,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220-SALSA,DSH,9/15/02,F,Y,N,,13,,Y 170 mmHg,,Alive,10/18/16,,,,7/19/13,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6961-MAX,DSH,10/15/09,M,Y,Y,,9,,NO,,Alive,6/6/18,,,,6/6/18,5.1,0.36,">13,6",,>130,,13.2,9.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6834-NICEA,DSH,4/1/07,F,Y,Y,,11,,NO,,Alive,6/13/18,,,,6/13/18,4.5,0.16,2.5,,40,,4.6,10.1,3.5,SDMA:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9158-BUBI,DSH,5/15/04,F,Y,Y,,13,,NO,,Alive,4/6/17,,,,4/4/17,,0.26,12,,>130,5.2,">16,1",7.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209-MICHI,DSH,4/5/01,F,Y,N,,15,,NO,,Alive,4/7/16,,,,4/7/16,3.17,0.26,1.6,,31,3.7,3.6,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10176-GRETA,DSH,6/15/14,F,Y,Y,,4,,NO,,Alive,9/5/18,,,,9/5/18,4.6,0.26,1.85,,26,3,5.4,8.9,3,"SDMA:12 GLU:170 GLOB:5,9",,,145,1050,,"VOMITING, HIPOREXIA, WEIGHTLOSS",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096- PITUFO,Siamese,5/10/18,M,Y,Y,,10,,NO,Patología digestiva,Alive,9/5/18,,,,7/10/18,6.9,0.53,2.7,,42,,6,10.1,3.9,"GLOB: 6,2",,ERYTHROCYTOSIS,,1020,,"VOMITING, HIPOREXIA, WEIGHTLOSS",1 Week,"irregular kidney, loss of cortical definition",,telmisartan,7/28/17,7.1,0.12,3.5,,,,3.7,8.4,,SDMA:12,,,,,,"Changes water intake, eat less.","telmisartan, maropitant, mirtazapina",,,,,,,,,,,,,,,,,,,
9221-MORGANA,DSH,6/5/14,F,Y,N,,,,NO,,Alive,4/29/17,,,,4/29/17,3.12,0.03,,,,,,,,,,,,1033,,hematuria,2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9614-ALMIRANTE,DSH,3/1/04,M,Y,Y,,13,,NO,"Patología digestiva, bronquitis crónica",Alive,5/9/17,,,,5/9/17,,0.06,1.6,,,,4.4,8.1,3.2,"GLOB: 4,9",,,,1042,,,," Kidney enlarged, thickening of the cortex, kidney atrophied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7856- LAKSHMI,Sacred of Burma,4/12/12,F,Y,Y,,5,,NO,,Alive,8/8/18,,,,6/9/17,,0.1,13.5,,,6.5,12,9.2,3.4,"GLOB: 5,8",,,,1018,,VOMITING,2 DAYS,"irregular kidney, loss of cortical definition",,,6/18/17,3.5,,2.5,,,2.5,6.4,7.4,2.9,"HC0318,9;PC02 40,0;Tc02 20,1",,,,,,"vomiting, hyporexia","Fluidtherapy, potassium supplement, cerenia, buprenorfina, dexametasona",7/28/17,,,2.9,,,,3.9,,,,,,,,,,,
9739-RAMON,DSH,4/15/07,M,Y,Y,,10,,NO,gingivitis/periodontitis,Alive,6/30/18,,,,8/3/17,,0.51,2.6,,,,,8.2,3.5,"GLOB:4,7",,,,1040,,VOMITING,1 WEEK,"irregular kidney, loss of cortical definition",,,6/29/18,6.5,,3.4,,,,3.4,,,fPLI positive,,,,,,hyporexia,"Bupremorfina, maropitant, dexametasona",,,,,,,,,,,,,,,,,,,
8993-KYRA,PERSIAN,7/27/14,F,Y,Y,,3,,Y 183 mmHg,,Alive,9/9/17,,,,8/1/17,2.71,1.36,3,,,4.6,7,,,FRUC:207,,,,1020,,"vomiting, decayed, discouraging, hyporexia",5 dias,"pelvis dilatation, ureter dilatation",escherichia coli,"diet, benacepril",9/1/17,2880,0.22,3.1,,,,5.9,7.5,3,"GLOB:4,6",,,,,,,,,,,,,,,,,,,,,,,,,,
9681-ARIEL,DSH,1/10/06,M,Y,Y,,10,,NO,Patología digestiva,Alive,6/21/18,,,,9/2/17,4.25,0.05,1.5,,,,5.2,8.8,3.1,,,,,1030,,,,No renal changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9773-TARZAN,DSH,23-Jan,M,Y,N,,,,NO,,Alive,9/9/17,,,,9/5/17,6.89,0.09,2.4,,,4.5,5.2,8.5,3.3,"FRUC:242,TT4 2.1, fPLI positive",,LYMPHOCYTOSIS,,1015,,"VOMITING, DRINKING MORE WATER",1 WEEK,No renal changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9174-PANCHO,DSH,3/5/11,M,Y,Y,,5,,NO,,Alive,9/9/17,,,,2/20/17,,2.94,2.1,,,,5,9.2,7,,,ANEMIA,,,,"VOMITING, ANOREXIA",, loss of cortical definition,,,9/9/17,,3.15,4.6,,,,,12,2.5,"GLOB: 9,5",,"ANEMIA, LEUKOPENIA",,,,"EAT LESS, APATHETIC","Fuidtherapy, benaceprilo, maropitant",,,,,,,,,,,,,,,,,,,
9833-REMO,DSH,2/1/14,M,Y,Y,URETERAL LITIASIS,3,,NO,,Alive,7/19/18,,,,10/30/17,,0.04,3.2,,,,4,6.7,2.8,"GLOB: 3,9",,ANEMIA LEUCOPENIA,,1025,,VOMITING,2 WEEKS,renal lithiasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6831-MEAD,Siamese,1/9/07,M,Y,Y,,10,,NO,,Alive,,,,,12/26/17,4.31,0.45,2.6,,,,,9,,"GLOB: 6,1",FPLI POSITIVE,,,1020,HEMATURIA,WEIGHT LOSS,MONTHS,pelvis dilatation,E. COLI,benacepril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9236-LUNA,DSH,5/15/02,F,Y,Y,,,,NO,,Alive,,,,,1/23/18,2.7,0.12,2.3,,,,5.3,6.8,2.9,"GLOB: 3,9",,,,1020,,Excessive vocalization,,"irregular kidney, loss of cortical definition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8027- DRAKO,Russian blue,4/1/09,M,Y,N,,,,NO,,Alive,3/12/18,,,,3/12/18,7.16,0.07,2,,,,3.3,7.4,3,"GLOB:4,4",,,,1050,HEMATURIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007-LULA,DHS,9/24/04,F,Y,Y,,12,,NO,Patología digestiva,Alive,4/30/18,,,,3/13/18,2.84,0.04,0.8,,,4.1,9.2,8,3.1,"GLOB: 4,8",,,155,1023,leucosuria,"VOMITING, ANOREXIA, EXCESSIVE VOCALIZATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9989-CLARA,Siamese,11/14/04,F,Y,Y,,14,,NO,,Alive,4/13/18,,,,4/13/18,,0.29,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8728-HUEVON,DHS,4/19/03,M,Y,Y,,7,,Y 190 mmHg,,Alive,6/4/18,,,,6/4/18,4.67,0.18,2.1,,,,,8.7,3.1,"GLOB: 5,6 tt4: 2,0",,,,,,VOMITING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8287-BENJI,DHS,4/12/10,M,Y,Y,,8,,NO,,Alive,6/29/18,,,,6/29/18,2.82,0.96,3.3,,,,10,8.7,3.1,"GLOB: 5,7",,,,1015,,,," irregular kidney, loss of cortical definition",,diet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7505-RUFO,DHS,8/16/11,M,Y,Y,,1,,NO,,Alive,8/23/18,,,,12/2/18,4.38,0.1,2.4,,,,4.8,7.1,3,"GLOB:4,1",,,,1050,,,,"pelvis dilatation, loss of corticomedular definition",,diet ,6/15/18,4.1,0.06,2.3,,,,3.4,7.2,3.3,GLOB: 4,,"LEUKOPENIA, NEUTROPENIA",,1037,,,,,,,,,,,,,,,,,,,,,,
10081-BOB,DHS,5/15/16,M,Y,Y,,2,,Y 175 mmHg,,Alive,8/6/18,,,,6/28/18,,0.99,3.8,,,,8.4,7.8,2.7,"GLOB: 5,1",,ANEMIA,,1022,LEUCOSURIA,,," loss of cortical definition, pelvis dilatation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8930-LUNIS,DSH,6/1/04,F,N,Y,,11,,NO,FIV,Dead,6/25/15,,,,6/25/15,1.9,11.25,2.9,,,,4.5,,2.2,,,"ANEMIA, NEUTROPHILIA",,,,,,No renal changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8974-MINA,DHS,5/15/02,F,Y,Y,,10,,NO,,dead,8/19/15,,9/20/15,,8/18/15,1.5,1.18,7.7,,,,16.1,,,,,ANEMIA LEUCOPENIA,,1010,,SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9975-PETER,DSH,6/15/14,M,Y,Y,,4,,NO,,Alive,8/8/18,,,,8/2/18,5.6,0.17,2.4,,57,,5.3,8.5,3.4,"glob:5,2",,, ,,"DU: 1025 PH:5,5 LEU:POS BLOOD:POS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6068-TRITON,DSH,7/15/08,M,Y,Y,,8,,NO,,Alive,2/17/16,,,,2/17/16,7.12,0.04,,,22,,4.3,7,2.9,,,,,,DU: 1025  LEU:POS BLOOD:POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9220-MAGUI,DSH,2/20/01,F,Y,Y,,15,,NO,,Alive,4/25/16,,,,4/25/16,2.12,3.43,4.9,,93,,16.1,,,Glu: 182,,,,,DU: 1015 LEU: POSI BILIRRU: POSI SANGRE: POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9226-LUISILLO,Siamese,5/3/08,M,Y,Y,,8,,NO,,Alive,5/14/16,,,,5/4/16,3.8,0.33,7.7,,121,4.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8858-LOBA,DSH,5/1/12,F,Y,Y,,4,,NO,,Alive,11/30/16,,,,9/26/16,3.02,0.33,2.4,,27,,3.7,9,2.9,,,,,,DU: 1030 BIL: POS SANGRE: POS PROT: POS,,,,,,11/30/16,,2.38,>10,,130,,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9275-NERÓN,DSH,1/5/08,M,Y,Y,,8,,NO,,Alive,7/3/18,,,,6/25/16,6.7,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5815-NOA,DSH,2/1/08,F,Y,Y,,8,,NO,,Alive,5/5/18,,,,8/9/16,3.95,0.36,2.2,,18,,3.3,,,,,,,,DU:1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5648-SUAVE,DSH,1/23/08,M,Y,Y,,8,,NO,,Alive,10/6/16,,,,9/15/16,5.4,0.61,3,,51,,,,,,,,,,DU: 1020,,,,,,10/5/16,,2.34,3.1,,47,,,,,,,,,,PROT: POS,,,,,,,,,,,,,,,,,,,,,
8509-ORIÓN,Siamese,4/1/04,M,Y,Y,,13,,Y 182  mmHg,,Alive,4/17/17,,,,3/6/17,,0.11,1.9,,42,,,8.9,3.3,Glu:173,,,,,DU: 1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388-LUNI,DSH,1/1/08,F,Y,Y,,8,,NO,,Alive,,,,,10/29/16,3.78,0.05,1.5,,20,,,,3.4,,,,,,"DU:1050 LEUCOSURIA, BILIRRUBINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7211- TYRA,DSH,7/30/10,F,Y,Y,,4,,NO,,Alive,12/29/17,,,,10/16/14,,0.85,2.8,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9036-JOGUIE,DSH,6/15/09,M,Y,Y,,6,,NO,,Alive,12/23/16,,,,12/18/15,4.46,1.72,2.4,,41,3.7,5.2,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
